Instrument_#,I-id,Archival_Culture_Name,Possible_GJB_All_cid_Matches,Cultural_focus,Instrument_Name,Alt_Instrument_Names,Sachs_Number,Sachs_Suffix,Additional_Comments,Bibliographic_Sources,Page/plate/illustration#,Archival_source,Source_Tag,Metadata_notes
20,231,TETON DAKOTA,26940,,WHISTLE,,42111111,0,,"Densmore, F. (1918). Teton Sioux Music. Washington, D.C.: U.S. Government Publishing Office.","Densmore, 329",,@Densmore1918TetonSiouxMusic  ,
31,232,TETON DAKOTA,26940,,RATTLE,,11211,3,,"Densmore, F. (1918). Teton Sioux Music. Washington, D.C.: U.S. Government Publishing Office.","Densmore, 329",,@Densmore1918TetonSiouxMusic  ,
31,233,TETON DAKOTA,26940,,RATTLE,,11213,0,,"Densmore, F. (1918). Teton Sioux Music. Washington, D.C.: U.S. Government Publishing Office.","Densmore, 322",,@Densmore1918TetonSiouxMusic  ,
31,234,TETON DAKOTA,26940,,RATTLE,,11213,3,,"Densmore, F. (1918). Teton Sioux Music. Washington, D.C.: U.S. Government Publishing Office.","Densmore, 252",,@Densmore1918TetonSiouxMusic  ,
52,235,FLATHEAD,15368,,DRUM,,211,0,Merely a large stretched canvas held and struck by a number of individuals,"Merriam, A. P. & Merriam, B. W. (1950). Flathead Indian music: report on field research, summer 1950.","Merriam & Merriam, 38",,@Merriam1950FlatheadIndianmusic  ,
29,236,FLATHEAD,15368,,BELLS,,111242,0,,"Merriam, A. P. & Merriam, B. W. (1950). Flathead Indian music: report on field research, summer 1950.","Merriam & Merriam, 44115",,@Merriam1950FlatheadIndianmusic  ,
47,237,FLATHEAD,15368,,FRAME DRUM,,211311,0,,"Merriam, A. P. & Merriam, B. W. (1950). Flathead Indian music: report on field research, summer 1950.","Merriam & Merriam, 44115",,@Merriam1950FlatheadIndianmusic  ,
42,238,FLATHEAD,15368,,DRUM,,2112111,9,,"Merriam, A. P. & Merriam, B. W. (1950). Flathead Indian music: report on field research, summer 1950.","Merriam & Merriam, 44115",,@Merriam1950FlatheadIndianmusic  ,
20,239,FLATHEAD,15368,,FLUTE,,42111122,27,,"Merriam, A. P. & Merriam, B. W. (1950). Flathead Indian music: report on field research, summer 1950.","Merriam & Merriam, 9",,@Merriam1950FlatheadIndianmusic  ,
26,240,FLATHEAD,15368,,PERCUSSION STICK,,11121,4,,"Merriam, A. P. & Merriam, B. W. (1950). Flathead Indian music: report on field research, summer 1950.","Merriam & Merriam, 43",,@Merriam1950FlatheadIndianmusic  ,
10,241,TURKMAN,27743,,LUTE,Dutar,32132,0,2 stringed,"Beliaev, V. (1927). Turkomangan Music. Pro Musica, 5.","Beliaev, 9",,@Beliaev1927TurkomanganMusic  ,
10,242,TURKMAN,27743,,REBAB,Ayjak,321,18,3 stringed,"Beliaev, V. (1927). Turkomangan Music. Pro Musica, 5.","Beliaev, 9",,@Beliaev1927TurkomanganMusic  ,
20,243,TURKMAN,27743,,FLUTE,Tuyduk,421,0,,"Beliaev, V. (1927). Turkomangan Music. Pro Musica, 5.","Beliaev, 9",,@Beliaev1927TurkomanganMusic  ,
40,244,CHEYENNE,13553,,DRUM,,2111,3,,"Densmore, F. (1936). Cheyenne and Arapaho Music. Southwest Museum Papers 10.","Densmore, 24-25",,@Densmore1936CheyenneandArapahoMusic  ,
47,245,CHEYENNE,13553,,FRAME DRUM,,21131,0,,"Densmore, F. (1936). Cheyenne and Arapaho Music. Southwest Museum Papers 10.","Densmore, 23",,@Densmore1936CheyenneandArapahoMusic  ,
52,246,CHEYENNE,13553,,DRUM,,211,0,,"Densmore, F. (1936). Cheyenne and Arapaho Music. Southwest Museum Papers 10.","Densmore, 25",,@Densmore1936CheyenneandArapahoMusic  ,
31,247,CHEYENNE,13553,,RATTLE,,11213,3,,"Densmore, F. (1936). Cheyenne and Arapaho Music. Southwest Museum Papers 10.","Densmore, 25",,@Densmore1936CheyenneandArapahoMusic  ,
32,248,CHEYENNE,13553,,SCRAPER,,11221,0,,"Densmore, F. (1936). Cheyenne and Arapaho Music. Southwest Museum Papers 10.","Densmore, 41",,@Densmore1936CheyenneandArapahoMusic  ,
31,249,CHEYENNE,13553,,RATTLE,,11211,3,,"Densmore, F. (1936). Cheyenne and Arapaho Music. Southwest Museum Papers 10.","Densmore, 26",,@Densmore1936CheyenneandArapahoMusic  ,
20,250,CHEYENNE,13553,,FLUTE,,42111112,27,,"Densmore, F. (1936). Cheyenne and Arapaho Music. Southwest Museum Papers 10.","Densmore, 26",,@Densmore1936CheyenneandArapahoMusic  ,
20,251,CHEYENNE,13553,,FLUTE,,42111112,27,,"Densmore, F. (1936). Cheyenne and Arapaho Music. Southwest Museum Papers 10.","Densmore, 26",,@Densmore1936CheyenneandArapahoMusic  ,
20,252,CHEYENNE,13553,,WHISTLE,,421,0,,"Densmore, F. (1936). Cheyenne and Arapaho Music. Southwest Museum Papers 10.","Densmore, 26",,@Densmore1936CheyenneandArapahoMusic  ,
52,253,TSIMSHIAN,27523,,DRUM,,21@311,0,,"Garfield, V. E., Wingert, P. & Barbeau, M. (1951). The Tsimshian: Their Arts and Music. Publications of the American Ethnological Society, 18. New York: J.J. Augustin.","Garfield, Wingert & Barbeau, 56",,@GarfieldEtAl1951TheTsimshian  ,
31,254,TSIMSHIAN,27523,,RATTLE,,11213,3,,"Garfield, V. E., Wingert, P. & Barbeau, M. (1951). The Tsimshian: Their Arts and Music. Publications of the American Ethnological Society, 18. New York: J.J. Augustin.","Garfield, Wingert & Barbeau, 56",,@GarfieldEtAl1951TheTsimshian  ,
20,255,TSIMSHIAN,27523,,WHISTLE,,421,0,,"Garfield, V. E., Wingert, P. & Barbeau, M. (1951). The Tsimshian: Their Arts and Music. Publications of the American Ethnological Society, 18. New York: J.J. Augustin.","Garfield, Wingert & Barbeau, 56",,@GarfieldEtAl1951TheTsimshian  ,
47,256,TSIMSHIAN,27523,,FRAME DRUM,,211311,0,,"Garfield, V. E., Wingert, P. & Barbeau, M. (1951). The Tsimshian: Their Arts and Music. Publications of the American Ethnological Society, 18. New York: J.J. Augustin.","Garfield, Wingert & Barbeau, 56, 98",,@GarfieldEtAl1951TheTsimshian  ,
6,257,HAWAII,16611,,ZITHER,Ukeke,311,17,,"Roberts, H. H. (1926). Ancient Hawaiian Music. B. P. Bishop Museum Bulletin, 29.","Roberts, 18-24",,@Roberts1926AncientHawaiianMusic  ,
20,258,HAWAII,16611,,FLUTE,Oke,4211111,32,Nose flute. Used by lover to signal to his girl.,"Roberts, H. H. (1926). Ancient Hawaiian Music. B. P. Bishop Museum Bulletin, 29.","Roberts, 35-38",,@Roberts1926AncientHawaiianMusic  ,
13,259,HAWAII,16611,,TRUMPET,Pu,423111,0,,"Roberts, H. H. (1926). Ancient Hawaiian Music. B. P. Bishop Museum Bulletin, 29.","Roberts, 46",,@Roberts1926AncientHawaiianMusic  ,
33,260,HAWAII,16611,,JEWS HARP,,1212,0,,"Roberts, H. H. (1926). Ancient Hawaiian Music. B. P. Bishop Museum Bulletin, 29.","Roberts, 47-48",,@Roberts1926AncientHawaiianMusic  ,
42,261,HAWAII,16611,,DRUM,Pahu,2112121,3,,"Roberts, H. H. (1926). Ancient Hawaiian Music. B. P. Bishop Museum Bulletin, 29.","Roberts, 49-50",,@Roberts1926AncientHawaiianMusic  ,
46,262,HAWAII,16611,,DRUM,,21126,0,Coconut shell,"Roberts, H. H. (1926). Ancient Hawaiian Music. B. P. Bishop Museum Bulletin, 29.","Roberts, 50",,@Roberts1926AncientHawaiianMusic  ,
20,263,HAWAII,16611,,FLUTE,,4212214,0,,"Roberts, H. H. (1926). Ancient Hawaiian Music. B. P. Bishop Museum Bulletin, 29.","Roberts, 44",,@Roberts1926AncientHawaiianMusic  ,
25,264,HAWAII,16611,,BULLROARER,,41222,0,,"Roberts, H. H. (1926). Ancient Hawaiian Music. B. P. Bishop Museum Bulletin, 29.","Roberts, 46",,@Roberts1926AncientHawaiianMusic  ,
26,265,HAWAII,16611,,IDIOPHONE,Ipu,111,0,,"Roberts, H. H. (1926). Ancient Hawaiian Music. B. P. Bishop Museum Bulletin, 29.","Roberts, 52",,@Roberts1926AncientHawaiianMusic  ,
26,266,HAWAII,16611,,PERCUSSION STICK,,111211,0,,"Roberts, H. H. (1926). Ancient Hawaiian Music. B. P. Bishop Museum Bulletin, 29.","Roberts, 53",,@Roberts1926AncientHawaiianMusic  ,
26,267,HAWAII,16611,,PERCUSSION STICK,,11121,0,,"Roberts, H. H. (1926). Ancient Hawaiian Music. B. P. Bishop Museum Bulletin, 29.","Roberts, 53",,@Roberts1926AncientHawaiianMusic  ,
26,268,HAWAII,16611,,CONCUSSION BOARD,,1111,0,,"Roberts, H. H. (1926). Ancient Hawaiian Music. B. P. Bishop Museum Bulletin, 29.","Roberts, 54",,@Roberts1926AncientHawaiianMusic  ,
31,269,HAWAII,16611,,RATTLE,,11213,3,,"Roberts, H. H. (1926). Ancient Hawaiian Music. B. P. Bishop Museum Bulletin, 29.","Roberts, 55",,@Roberts1926AncientHawaiianMusic  ,
31,270,HAWAII,16611,,RATTLE,,11211,0,,"Roberts, H. H. (1926). Ancient Hawaiian Music. B. P. Bishop Museum Bulletin, 29.","Roberts, 56",,@Roberts1926AncientHawaiianMusic  ,
20,271,MAORI,20835,,FLUTE,Whio; Rehu,42111112,27,,"Anderson, J. (1934). Maori music, with its Polynesian background. Memoirs of the Polynesian Society, 10.","Anderson, 257",,@Anderson1934MaoriMusic  ,I-id changed from 171 in 1977 by NZB. Two slightly different flutes are condensed on this sheet.
26,272,YAGUA,28843,,PERCUSSION STICK,,111211,0,,"Fejos, P. (1943). Ethnography of the Yagua. Viking Fund Publications in Anthropology, 1. New York: The Viking Fund.","Fejos, 93",,@Fejos1943Yagua  ,
42,273,YAGUA,28843,,DRUM,,211212,4,,"Fejos, P. (1943). Ethnography of the Yagua. Viking Fund Publications in Anthropology, 1. New York: The Viking Fund.","Fejos, 68",,@Fejos1943Yagua  ,
21,274,YAGUA,28843,,PANPIPE,,42111211,0,All males possess and play,"Fejos, P. (1943). Ethnography of the Yagua. Viking Fund Publications in Anthropology, 1. New York: The Viking Fund.","Fejos, 66",,@Fejos1943Yagua  ,
31,275,YAGUA,28843,,RATTLE,,112111,0,,"Izikowitz, K. G. (1935). Musical and other sound instruments of the south American Indians: A comparative ethnographical study. Göteborg: Elanders Boktryckeri.","Izikowitz, 65",,@Izikowitz1935SouthAmericanIndians  ,
31,276,YAGUA,28843,,RATTLE,,112111,0,Fruit shell,"Izikowitz, K. G. (1935). Musical and other sound instruments of the south American Indians: A comparative ethnographical study. Göteborg: Elanders Boktryckeri.","Izikowitz, 54",,@Izikowitz1935SouthAmericanIndians  ,
31,277,CAYAPA,13300,,RATTLE,,11213,0,Gourd rattle,"Izikowitz, K. G. (1935). Musical and other sound instruments of the south American Indians: A comparative ethnographical study. Göteborg: Elanders Boktryckeri.","Izikowitz, 54",,@Izikowitz1935SouthAmericanIndians  ,
13,278,JIVARO,17667,,TRUMPET,,42311,0,Shell trumpet,"Izikowitz, K. G. (1935). Musical and other sound instruments of the south American Indians: A comparative ethnographical study. Göteborg: Elanders Boktryckeri.","Izikowitz, 228",,@Izikowitz1935SouthAmericanIndians  ,
5,279,JIVARO,17667,,MUSICAL BOW,,3111,16,,"Izikowitz, K. G. (1935). Musical and other sound instruments of the south American Indians: A comparative ethnographical study. Göteborg: Elanders Boktryckeri.","Izikowitz, 203",,@Izikowitz1935SouthAmericanIndians  ,
31,280,JIVARO,17667,,RATTLE,,112111,0,Fruit shell rattle,"Izikowitz, K. G. (1935). Musical and other sound instruments of the south American Indians: A comparative ethnographical study. Göteborg: Elanders Boktryckeri.","Izikowitz, 53",,@Izikowitz1935SouthAmericanIndians  ,
13,281,FIJI,15302,,TRUMPET,,42311,0,,"Roth, G. K. (1953). The Fijian Way of Life. London: Oxford University Press","Roth, 29",,@Roth1953TheFijianWayofLife  ,I-id changed from 547 in 1977 by NZB
31,282,JIVARO,17667,,RATTLE,,112111,0,,"Karsten, R. (1935). The head-hunters of western Amazonas: The life and culture of the Jibaro Indians of eastern Ecuador. Helsinki: Centraltryckeriet.","Karsten, 321",,@Karsten1935Thehead-huntersofwesternAmazonas  ,
42,283,JIVARO,17667,,DRUM,Tombora,21121,11,,"Karsten, R. (1935). The head-hunters of western Amazonas: The life and culture of the Jibaro Indians of eastern Ecuador. Helsinki: Centraltryckeriet.","Karsten, 92, 162-63",,@Karsten1935Thehead-huntersofwesternAmazonas  ,
30,284,JIVARO,17667,,SLIT DRUM,Tundui,21121,0,,"Karsten, R. (1935). The head-hunters of western Amazonas: The life and culture of the Jibaro Indians of eastern Ecuador. Helsinki: Centraltryckeriet.","Karsten, 97, 108-12, 434, 456",,@Karsten1935Thehead-huntersofwesternAmazonas  ,
20,285,JIVARO,17667,,FLUTE,Piuma,421111,0,5 holes,"Karsten, R. (1935). The head-hunters of western Amazonas: The life and culture of the Jibaro Indians of eastern Ecuador. Helsinki: Centraltryckeriet.","Karsten, 424",,@Karsten1935Thehead-huntersofwesternAmazonas  ,
20,286,JIVARO,17667,,FLUTE,Pinqui,421111,0,2 holes,"Karsten, R. (1935). The head-hunters of western Amazonas: The life and culture of the Jibaro Indians of eastern Ecuador. Helsinki: Centraltryckeriet.","Karsten, 424",,@Karsten1935Thehead-huntersofwesternAmazonas  ,
31,287,JIVARO,17667,,RATTLE,,112112,3,,"Karsten, R. (1935). The head-hunters of western Amazonas: The life and culture of the Jibaro Indians of eastern Ecuador. Helsinki: Centraltryckeriet.","Karsten, 418",,@Karsten1935Thehead-huntersofwesternAmazonas  ,
20,288,JIVARO,17667,,FLUTE,Tunqui,421111,0,,"Karsten, R. (1935). The head-hunters of western Amazonas: The life and culture of the Jibaro Indians of eastern Ecuador. Helsinki: Centraltryckeriet.","Karsten, 424",,@Karsten1935Thehead-huntersofwesternAmazonas  ,
31,289,ARAUCANIANS,10814,,RATTLE,Wada,11213,3,,"Cooper, J. M. (1946). The Araucanians. In J. H. Steward (Ed.), Handbook of South American Indians Vol II: The Andean Civilizations. Washington, D.C.: Smithsonian Institution.","Cooper, 738",,@Cooper1946TheAraucanians  ,
13,290,ARAUCANIANS,10814,,TRUMPET,,4231211,0,,"Titiev, M. (1951). Araucanian culture in transition (Vol. 15, Occasional Contributions). Ann Arbor, MI: University of Michigan Press.","Titiev, 33",,@Titiev1951AraucanianCultureTransition  ,
13,291,ARAUCANIANS,10814,,TRUMPET,Trutruka,4231211,0,,"Titiev, M. (1951). Araucanian culture in transition (Vol. 15, Occasional Contributions). Ann Arbor, MI: University of Michigan Press.","Titiev, 33",,@Titiev1951AraucanianCultureTransition  ,
20,292,ARAUCANIANS,10814,,FLUTE,,42111,0,,"Titiev, M. (1951). Araucanian culture in transition (Vol. 15, Occasional Contributions). Ann Arbor, MI: University of Michigan Press.","Titiev, 33",,@Titiev1951AraucanianCultureTransition  ,
21,293,ARAUCANIANS,10814,,PANPIPE,,421112,0,,"Cooper, J. M. (1946). The Araucanians. In J. H. Steward (Ed.), Handbook of South American Indians Vol II: The Andean Civilizations. Washington, D.C.: Smithsonian Institution.","Cooper, 738",,@Cooper1946TheAraucanians  ,
20,294,ARAUCANIANS,10814,,WHISTLE,,421,0,,"Izikowitz, K. G. (1935). Musical and other sound instruments of the south American Indians: A comparative ethnographical study. Göteborg: Elanders Boktryckeri.","Izikowitz, 282",,@Izikowitz1935SouthAmericanIndians  ,
31,295,ARAUCANIANS,10814,,RATTLE,,11213,0,Basketry,"Izikowitz, K. G. (1935). Musical and other sound instruments of the south American Indians: A comparative ethnographical study. Göteborg: Elanders Boktryckeri.","Izikowitz, 120",,@Izikowitz1935SouthAmericanIndians  ,
29,296,ARAUCANIANS,10814,,BELLS,,111242,0,,"Titiev, M. (1951). Araucanian culture in transition (Vol. 15, Occasional Contributions). Ann Arbor, MI: University of Michigan Press.","Titiev, 132",,@Titiev1951AraucanianCultureTransition  ,
40,297,ARAUCANIANS,10814,,DRUM,,21111,4,"This drum had small stones in it, for shaman purposes.","Cooper, J. M. (1946). The Araucanians. In J. H. Steward (Ed.), Handbook of South American Indians Vol II: The Andean Civilizations. Washington, D.C.: Smithsonian Institution.","Cooper, 738, 750",,@Cooper1946TheAraucanians  ,
26,298,CAYAPA,13300,,MARIMBA,,111212,4,,"Barrett, S. A. (1925). The Cayapa Indians of Ecuador (Vol. 40, Indian Notes and Monographs). New York: Museum of the American Indian, Heye Foundation.","Barrett, 327",,@Barrett1925Cayapa  ,
31,299,CAYAPA,13300,,RATTLE,,1122,0,,"Barrett, S. A. (1925). The Cayapa Indians of Ecuador (Vol. 40, Indian Notes and Monographs). New York: Museum of the American Indian, Heye Foundation.","Barrett, 329",,@Barrett1925Cayapa  ,
20,300,CAYAPA,13300,,FLUTE,,42111,27,,"Barrett, S. A. (1925). The Cayapa Indians of Ecuador (Vol. 40, Indian Notes and Monographs). New York: Museum of the American Indian, Heye Foundation.","Barrett, 326",,@Barrett1925Cayapa  ,
21,301,CAYAPA,13300,,PANPIPE,,421112,0,,"Barrett, S. A. (1925). The Cayapa Indians of Ecuador (Vol. 40, Indian Notes and Monographs). New York: Museum of the American Indian, Heye Foundation.","Barrett, 326",,@Barrett1925Cayapa  ,
45,302,CAYAPA,13300,,DRUM,,21125,8,,"Barrett, S. A. (1925). The Cayapa Indians of Ecuador (Vol. 40, Indian Notes and Monographs). New York: Museum of the American Indian, Heye Foundation.","Barrett, 326",,@Barrett1925Cayapa  ,
47,303,CARIBOUESK,13190,,FRAME DRUM,,211321,3,,"Birket-Smith, K. (1945). Ethnographical Collections from the Northwest Passage. Report of the Fifth Thule Expedition 1921-29, 6(2). Copenhagen: Gyldendalske Boghandel.","Birket-Smith, 225",,@Birket-Smith1945NorthwestPassage  ,
42,304,CREE,14125,,DRUM,,211212,23,"Many players, one drum","Mandelbaum, D. (1940). The Plains Cree. Anthropological Papers of the American Museum of Natural History 37(2). New York: American Museum of Natural History.","Mandelbaum, 280-81",,@Mandelbaum1940ThePlainsCree  ,
42,305,CREE,14125,,DRUM,,211211,9,Drumstick curved,"Mandelbaum, D. (1940). The Plains Cree. Anthropological Papers of the American Museum of Natural History 37(2). New York: American Museum of Natural History.","Mandelbaum, 216",,@Mandelbaum1940ThePlainsCree  ,
47,306,CREE,14125,,FRAME DRUM,,211311,4,,"Mandelbaum, D. (1940). The Plains Cree. Anthropological Papers of the American Museum of Natural History 37(2). New York: American Museum of Natural History.","Mandelbaum, 216",,@Mandelbaum1940ThePlainsCree  ,
52,307,CREE,14125,,DRUM,,211,0,"Rawhide spread on ground, beaten with willow wands","Mandelbaum, D. (1940). The Plains Cree. Anthropological Papers of the American Museum of Natural History 37(2). New York: American Museum of Natural History.","Mandelbaum, 265",,@Mandelbaum1940ThePlainsCree  ,
20,308,CREE,14125,,FLUTE,,421111,27,,"Mandelbaum, D. (1940). The Plains Cree. Anthropological Papers of the American Museum of Natural History 37(2). New York: American Museum of Natural History.","Mandelbaum, 217",,@Mandelbaum1940ThePlainsCree  ,
25,309,CREE,14125,,BULLROARER,,41222,0,,"Mandelbaum, D. (1940). The Plains Cree. Anthropological Papers of the American Museum of Natural History 37(2). New York: American Museum of Natural History.","Mandelbaum, 218",,@Mandelbaum1940ThePlainsCree  ,
20,310,CREE,14125,,WHISTLE,,42111,0,,"Mandelbaum, D. (1940). The Plains Cree. Anthropological Papers of the American Museum of Natural History 37(2). New York: American Museum of Natural History.","Mandelbaum, 217",,@Mandelbaum1940ThePlainsCree  ,
31,311,CREE,14125,,RATTLE,,112111,23,,"Mandelbaum, D. (1940). The Plains Cree. Anthropological Papers of the American Museum of Natural History 37(2). New York: American Museum of Natural History.","Mandelbaum, 217",,@Mandelbaum1940ThePlainsCree  ,
31,312,CREE,14125,,RATTLE,,112112,3,,"Mandelbaum, D. (1940). The Plains Cree. Anthropological Papers of the American Museum of Natural History 37(2). New York: American Museum of Natural History.","Mandelbaum, 217",,@Mandelbaum1940ThePlainsCree  ,
31,313,CREE,14125,,RATTLE,,11213,3,The Cree have 3 or 4 sets of rattles. These are used for various ritual purposes.,"Mandelbaum, D. (1940). The Plains Cree. Anthropological Papers of the American Museum of Natural History 37(2). New York: American Museum of Natural History.","Mandelbaum, 217",,@Mandelbaum1940ThePlainsCree  ,
31,314,OMAHA,,,RATTLE,Tasha'ge,112112,3,,"Fletcher, A. & La Flesche, F. (1911). The Omaha Tribes. Washington: 27th Annual report of the Bureau of American Ethnology.","Fletcher & La Flesche, 372",,@FletcherLaFlesche1911TheOmahaTribes  ,
31,315,OMAHA,,,RATTLE,Pe'xe,11213,3,,"Fletcher, A. & La Flesche, F. (1911). The Omaha Tribes. Washington: 27th Annual report of the Bureau of American Ethnology.","Fletcher & La Flesche, 372",,@FletcherLaFlesche1911TheOmahaTribes  ,
47,316,OMAHA,,,FRAME DRUM,,211311,0,,"Fletcher, A. & La Flesche, F. (1911). The Omaha Tribes. Washington: 27th Annual report of the Bureau of American Ethnology.","Fletcher & La Flesche, 371",,@FletcherLaFlesche1911TheOmahaTribes  ,
20,317,OMAHA,,,FLUTE,,42121112,27,,"Fletcher, A. & La Flesche, F. (1911). The Omaha Tribes. Washington: 27th Annual report of the Bureau of American Ethnology.","Fletcher & La Flesche, 372",,@FletcherLaFlesche1911TheOmahaTribes  ,
42,318,OMAHA,,,DRUM,,211211,0,,"Fletcher, A. & La Flesche, F. (1911). The Omaha Tribes. Washington: 27th Annual report of the Bureau of American Ethnology.","Fletcher & La Flesche, 371",,@FletcherLaFlesche1911TheOmahaTribes  ,
31,319,HUPA,16930,,RATTLE,,112112,3,,"Goddard, P. (1903-04). Life and Culture of the Hupa. University of California Publications in American Archaeology & Ethnology 1(1). Berkeley: University of California Press.","Goddard, 67",,@Goddard1903-04Hupa  ,
26,320,HUPA,16930,,SPLIT STICK,,1123,0,,"Goddard, P. (1903-04). Life and Culture of the Hupa. University of California Publications in American Archaeology & Ethnology 1(1). Berkeley: University of California Press.","Goddard, 54",,@Goddard1903-04Hupa  ,
20,321,HUPA,16930,,WHISTLE,,42111,0,,"Goddard, P. (1903-04). Life and Culture of the Hupa. University of California Publications in American Archaeology & Ethnology 1(1). Berkeley: University of California Press.","Goddard, 84",,@Goddard1903-04Hupa  ,
31,322,YARURO,28997,,RATTLE,,11213,0,,"Petrullo, V. (1939). The Yaruros of the Capanaparo River, Venezuela. Bureau of American Ethnology Bulletin, 123(11), 161-290.","Petrullo, 251, pl. 24",,@Petrullo1939Yaruros  ,
20,323,DUSUN,14840,,FLUTE,,421111,27,Mouth flute,"Evans, I. (1953). The Religion of the Tempasuk Dusuns of North Borneo. Cambridge: Cambridge University Press.","Evans, 87",,@Evans1953TempasukDusuns  ,
20,324,DUSUN,14840,,FLUTE,,42112,27,"Nose flute, semi transverse","Evans, I. (1922). Among Primitive Peoples in Borneo: A Description of the Lives, Habits and Customs of the Piratical Head-Hunters of North Borneo. London: Seeley, Service and Co.","Evans, 296",,@Evans1922Borneo  ,
10,325,DUSUN,14840,,LUTE,Sendatang,32132,16,,"Evans, I. (1922). Among Primitive Peoples in Borneo: A Description of the Lives, Habits and Customs of the Piratical Head-Hunters of North Borneo. London: Seeley, Service and Co.","Evans, 136",,@Evans1922Borneo  ,
42,326,DUSUN,14840,,DRUM,,211211,0,,"Evans, I. (1922). Among Primitive Peoples in Borneo: A Description of the Lives, Habits and Customs of the Piratical Head-Hunters of North Borneo. London: Seeley, Service and Co.","Evans, 133",,@Evans1922Borneo  ,
6,327,DUSUN,14840,,IDIOCHORD,,31211,0,,"Evans, I. (1922). Among Primitive Peoples in Borneo: A Description of the Lives, Habits and Customs of the Piratical Head-Hunters of North Borneo. London: Seeley, Service and Co.","Evans, 132",,@Evans1922Borneo  ,
27,328,DUSUN,14840,,GONG,,111241,0,,"Evans, I. (1922). Among Primitive Peoples in Borneo: A Description of the Lives, Habits and Customs of the Piratical Head-Hunters of North Borneo. London: Seeley, Service and Co.","Evans, 131",,@Evans1922Borneo  ,
27,329,DUSUN,14840,,GONG,,1112411,41,,"Evans, I. (1922). Among Primitive Peoples in Borneo: A Description of the Lives, Habits and Customs of the Piratical Head-Hunters of North Borneo. London: Seeley, Service and Co.","Evans, 131",,@Evans1922Borneo  ,
27,330,DUSUN,14840,,GONG,Tawaq,1112411,0,,"Evans, I. (1922). Among Primitive Peoples in Borneo: A Description of the Lives, Habits and Customs of the Piratical Head-Hunters of North Borneo. London: Seeley, Service and Co.","Evans, 131",,@Evans1922Borneo  ,
27,331,DUSUN,14840,,GONG SET,,1112412,0,,"Evans, I. (1922). Among Primitive Peoples in Borneo: A Description of the Lives, Habits and Customs of the Piratical Head-Hunters of North Borneo. London: Seeley, Service and Co.","Evans, 245",,@Evans1922Borneo  ,
29,332,DUSUN,14840,,BELL,,111242,0,Actually attached to skirt,"Evans, I. (1923). Religion, Folklore and Custom in North Borneo and the Malay Peninsula. Cambridge: Cambridge University Press.","Evans, 21",,@Evans1923NorthBorneoMalayPeninsula  ,
29,333,DUSUN,14840,,BELL,,111242,0,Connection between horse and bell?,"Evans, I. (1953). The Religion of the Tempasuk Dusuns of North Borneo. Cambridge: Cambridge University Press.","Evans, 95",,@Evans1953TempasukDusuns  ,
22,334,DUSUN,14840,,MOUTH ORGAN,Sempatan,4223,27,,"Evans, I. (1922). Among Primitive Peoples in Borneo: A Description of the Lives, Habits and Customs of the Piratical Head-Hunters of North Borneo. London: Seeley, Service and Co.","Evans, 132",,@Evans1922Borneo  ,
30,335,DUSUN,14840,,SLIT DRUM,,111231,0,"No musical instrument, other than gongs or drums, must be taken into a new house","Evans, I. (1953). The Religion of the Tempasuk Dusuns of North Borneo. Cambridge: Cambridge University Press.","Evans, 133, 183",,@Evans1953TempasukDusuns  ,
28,336,DUSUN,14840,,XYLOPHONE,,111212,0,,"Evans, I. (1922). Among Primitive Peoples in Borneo: A Description of the Lives, Habits and Customs of the Piratical Head-Hunters of North Borneo. London: Seeley, Service and Co.","Evans, 132",,@Evans1922Borneo  ,
31,337,DUSUN,14840,,RATTLE,Gonding,11211,0,Possibly a bell,"Evans, I. (1953). The Religion of the Tempasuk Dusuns of North Borneo. Cambridge: Cambridge University Press.","Evans, 56, pl. IIC",,@Evans1953TempasukDusuns  ,
26,338,DUSUN,14840,,SPLIT STICK,Tamporak,1123,0,,"Evans, I. (1953). The Religion of the Tempasuk Dusuns of North Borneo. Cambridge: Cambridge University Press.","Evans, 285",,@Evans1953TempasukDusuns  ,
33,339,DUSUN,14840,,JEWS HARP,,1212,0,String is pulled by player,"Evans, I. (1922). Among Primitive Peoples in Borneo: A Description of the Lives, Habits and Customs of the Piratical Head-Hunters of North Borneo. London: Seeley, Service and Co.","Evans, 131",,@Evans1922Borneo  ,
13,340,DUSUN,14840,,TRUMPET,Tabhuri,42311,41,,"Evans, I. (1923). Religion, Folklore and Custom in North Borneo and the Malay Peninsula. Cambridge: Cambridge University Press.","Evans, 12",,@Evans1923NorthBorneoMalayPeninsula  ,
20,341,SEMANG,30168,,FLUTE,,421111,27,,"Evans, I. (1937). The Negritos of Malaya. Cambridge: Cambridge University Press","Evans, 115",,@Evans1937TheNegritosofMalaya  ,
20,342,SEMANG,30168,,FLUTE,,42112,27,Nose flute,"Evans, I. (1937). The Negritos of Malaya. Cambridge: Cambridge University Press","Evans, 115",,@Evans1937TheNegritosofMalaya  ,
20,343,SEMANG,30168,,FLUTE,,421121,27,Used both as nose flute and mouth flute,"Evans, I. (1937). The Negritos of Malaya. Cambridge: Cambridge University Press","Evans, 116",,@Evans1937TheNegritosofMalaya  ,
6,344,SEMANG,30168,,IDIOCHORD,,31211,0,,"Evans, I. (1937). The Negritos of Malaya. Cambridge: Cambridge University Press","Evans, 117",,@Evans1937TheNegritosofMalaya  ,
