Instrument_#,I-id,Instrument_Name,Archival_Culture_Name,Sachs_Number,Sachs_Suffix,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,Active
21,967,PANPIPE,ANCIENTGREECE,42111211,0,10,0,0,3,2,7,0,15,0,0,0,1,6,2,1
13,964,TRUMPET,ANCIENTGREECE,42312112,0,10,0,7,2,2,7,3,8,11,9,0,1,6,2,1
12,965,HARP,ANCIENTGREECE,32211,0,7,0,0,5,2,7,0,0,0,0,0,1,7,3,1
11,969,LYRE,ANCIENTGREECE,32122,17,7,1,4,5,1,7,2,15,16,0,0,1,7,4,1
11,968,LYRE,ANCIENTGREECE,32121,0,7,1,6,3,1,7,3,15,16,11,0,8,15,9,1
47,1217,FRAME DRUM,ANDALUCIA,211311,0,0,0,2,5,1,1,2,10,12,11,0,2,6,1,1
26,1211,CASTANET,ANDALUCIA,111141,3,8,0,1,4,1,1,3,10,11,12,0,2,6,1,1
17,1220,CLARINET,ANDALUCIA,422212,28,10,0,3,2,2,5,2,16,10,0,0,1,6,2,1
15,1218,TROMBONE,ANDALUCIA,42322,0,10,0,7,2,2,6,2,12,9,1,0,1,6,2,1
15,1219,TRUMPET,ANDALUCIA,42312122,0,10,0,2,2,1,1,4,12,9,1,0,1,6,2,1
20,1216,PIPE,ANDALUCIA,42111112,27,10,0,2,2,1,1,2,10,11,12,0,1,6,2,1
35,1213,CLAPPING,ANDALUCIA,1112,0,8,0,0,4,1,1,2,10,11,16,0,1,0,3,1
26,1223,CYMBAL,ANDALUCIA,111142,4,8,0,1,4,2,1,2,12,10,16,0,1,6,3,1
10,1387,FIDDLE,ANDALUCIA,321322,18,9,0,5,2,2,1,1,10,11,0,0,7,6,3,1
43,1226,BASS DRUM,ANDALUCIA,211212,0,8,5,4,2,2,5,3,9,12,0,4,1,2,4,1
10,1227,GUITAR,ANDALUCIA,321322,67,7,0,6,3,1,1,4,10,4,11,0,1,6,4,1
10,1210,LUTE,ANDALUCIA,321321,0,7,0,4,2,1,1,4,10,11,16,0,1,6,4,1
42,1228,DRUM,ANDALUCIA,211212,4,8,3,2,2,1,1,2,10,12,11,0,1,2,5,1
10,1209,GUITAR,ANDALUCIA,321322,16,7,0,6,2,1,1,4,10,4,16,9,1,2,5,1
26,1224,TRIANGLE,ANDALUCIA,1112,4,8,0,1,2,2,1,1,12,1,16,9,1,6,5,1
42,1225,DRUM,ANDALUCIA,211212,0,8,4,4,2,2,5,3,9,12,0,9,1,2,6,1
26,1222,CLAPPER,ANDALUCIA,1112,4,9,0,4,4,2,1,1,12,0,0,0,1,15,9,1
36,1212,STOMPING,ANDALUCIA,500,0,8,0,0,4,1,1,2,10,11,16,0,2,0,11,1
29,1221,BELL,ANDALUCIA,111242122,3,0,0,1,3,2,5,2,1,12,0,0,1,6,12,1
38,1125,SHIELD,ANDAMAN,1112,6,0,9,8,2,1,1,3,10,11,1,0,2,15,11,1
31,295,RATTLE,ARAUCANIANS,11213,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
20,294,WHISTLE,ARAUCANIANS,421,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1
20,292,FLUTE,ARAUCANIANS,42111,0,10,0,0,0,1,1,2,1,10,0,0,0,0,0,1
29,296,BELLS,ARAUCANIANS,111242,0,0,0,1,5,4,1,2,2,1,0,0,1,3,0,1
40,297,DRUM,ARAUCANIANS,21111,4,0,3,2,5,2,1,3,2,1,10,0,9,6,0,1
21,293,PANPIPE,ARAUCANIANS,421112,0,10,0,0,0,0,1,1,10,0,0,0,0,6,2,1
31,289,RATTLE,ARAUCANIANS,11213,3,0,0,1,5,4,1,2,2,1,0,0,0,6,2,1
13,290,TRUMPET,ARAUCANIANS,4231211,0,0,0,8,2,4,1,1,6,0,0,0,1,15,12,1
13,291,TRUMPET,ARAUCANIANS,4231211,0,10,0,9,2,4,1,3,1,6,11,0,1,15,12,1
27,1168,GONG,ASHANTI,1112411,0,0,0,0,2,2,1,0,1,0,0,0,0,0,0,1
21,1170,PIPES,ASHANTI,421,0,0,0,0,2,2,1,3,14,13,6,0,0,0,0,1
52,1167,DRUM,ASHANTI,211,0,0,1,0,2,1,1,1,6,14,0,4,0,0,0,1
45,1165,DRUM,ASHANTI,211251,0,0,4,6,2,1,1,3,14,1,6,0,0,2,0,1
45,1166,DRUM,ASHANTI,21125,0,0,4,6,2,1,1,3,14,1,6,0,0,2,0,1
31,1169,RATTLE,ASHANTI,11213,0,0,0,3,6,2,1,2,10,1,0,0,1,6,0,1
14,1164,HORN,ASHANTI,42312121,0,11,0,6,2,1,1,2,1,14,0,3,1,6,2,1
41,1153,DRUM,ASHANTI,2112,0,0,4,8,2,1,1,2,1,16,0,0,1,15,3,1
44,1151,DRUM,ASHANTI,211242,4,0,3,5,5,1,1,0,3,0,0,0,1,6,4,1
44,1159,DRUM,ASHANTI,211242,4,0,1,5,2,1,1,1,6,14,0,4,1,6,4,1
42,1160,DRUM,ASHANTI,21121,4,0,3,6,2,1,1,2,1,10,0,0,1,2,5,1
43,1163,DRUM,ASHANTI,211221,0,0,3,3,2,1,1,1,8,14,0,0,1,2,5,1
52,1171,DRUM,ASHANTI,211,0,0,3,0,2,1,1,2,1,16,0,0,1,2,5,1
45,1155,DRUM,ASHANTI,211251,13,0,3,6,2,1,1,1,6,14,0,4,1,15,5,1
45,1157,DRUM,ASHANTI,211251,0,0,4,7,2,1,1,1,8,14,0,0,1,2,6,1
42,1158,DRUM,ASHANTI,2112111,0,0,4,5,2,1,1,1,8,14,0,0,1,2,7,1
45,1152,DRUM,ASHANTI,21125,13,0,3,6,2,1,1,2,1,3,0,0,1,2,8,1
45,1156,DRUM,ASHANTI,2112511,0,0,3,6,2,1,1,3,8,14,9,0,1,2,8,1
43,1162,DRUM,ASHANTI,21122,0,0,1,3,2,1,1,4,14,1,6,0,7,13,8,1
45,1149,DRUM,ASHANTI,211251,13,0,3,5,2,1,1,3,14,1,6,0,1,15,8,1
46,1154,DRUM,ASHANTI,21126,13,0,4,6,2,1,1,1,8,1,14,0,3,15,8,1
45,1161,DRUM,ASHANTI,21125,13,0,1,5,2,1,1,3,14,1,6,0,5,15,8,1
46,1150,DRUM,ASHANTI,2112612,16,0,4,6,2,1,1,1,1,0,0,0,7,15,8,1
45,1585,DRUM,BAHIMA,21125,0,0,0,0,2,0,1,2,14,13,0,0,0,0,0,1
31,914,RATTLE,BAHIMA,11213,0,0,0,2,0,3,1,2,14,13,0,0,0,6,0,1
20,912,FLUTE,BAHIMA,421,0,0,0,0,2,3,1,2,14,13,0,0,0,6,0,1
7,913,ZITHER,BAHIMA,322,0,7,0,0,6,3,1,2,16,14,15,0,6,11,5,1
29,1586,BELLS,BAHIMA,111242,53,1,0,1,2,1,1,2,14,13,0,0,2,14,9,1
42,436,DRUM,BALI,2112121,0,0,4,9,2,4,1,1,1,0,0,0,0,0,0,1
48,30,DRUM,BALI,212322,1,0,9,1,2,3,2,1,1,0,0,0,0,0,0,1
26,434,CYMBAL,BALI,111242,0,0,0,1,0,1,1,4,13,10,16,0,0,6,0,1
31,418,ANKLUNG,BALI,112122,0,0,0,7,2,3,2,3,13,10,16,0,6,14,0,1
28,437,XYLOPHONE,BALI,111212,0,0,0,5,2,3,2,4,6,13,10,0,0,15,0,1
28,433,XYLOPHONE,BALI,111212,0,0,0,4,2,3,1,4,6,10,13,0,0,15,0,1
33,1576,JEWS HARP,BALI,1212,0,0,0,1,4,1,1,2,15,4,0,0,9,4,2,1
20,421,FLUTE,BALI,42111112,27,10,0,1,2,1,1,2,15,13,0,0,6,6,2,1
27,424,GONG,BALI,111241,0,0,0,2,2,1,2,4,10,11,13,0,0,1,3,1
27,425,GONG,BALI,111241,0,0,0,4,2,1,2,4,10,11,13,0,1,1,3,1
28,426,METALLOPHONE,BALI,111222,0,8,0,3,2,1,2,4,1,10,11,0,6,1,4,1
28,427,METALLOPHONE,BALI,111222,0,0,0,4,2,1,2,4,1,10,11,0,6,1,4,1
28,428,METALLOPHONE,BALI,111222,0,8,0,5,2,1,2,4,1,10,11,0,6,1,4,1
28,429,METALLOPHONE,BALI,111222,0,8,0,6,2,1,2,4,1,10,11,0,6,1,4,1
35,1577,CLAPPING,BALI,1112,0,0,0,1,4,4,1,2,13,16,0,0,6,6,4,1
28,431,METALLOPHONE,BALI,111222,0,0,0,4,2,0,0,4,1,10,11,0,6,15,4,1
28,430,METALLOPHONE,BALI,111222,0,0,0,3,2,1,2,4,1,10,11,0,6,15,4,1
28,432,METALLOPHONE,BALI,111222,0,0,0,4,2,1,2,4,1,10,11,0,6,15,4,1
27,420,GONG SET,BALI,1112412,4,0,0,8,2,2,2,4,10,11,13,0,6,1,5,1
42,435,DRUM,BALI,2112121,0,4,9,4,2,1,0,4,10,13,11,0,6,11,5,1
6,419,IDIOCHORD,BALI,3121,0,8,0,3,2,2,2,1,13,0,0,0,6,13,5,1
10,422,REBAB,BALI,321311,18,9,0,6,2,3,1,1,13,0,0,0,6,15,5,1
