Instrument_#,I-id,Instrument_Name,Archival_Culture_Name,Sachs_Number,Sachs_Suffix,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,Active
20,1459,FLUTE,C RUSSIA,42111112,0,10,0,2,0,1,5,4,16,10,11,0,1,6,2,1
20,1460,FLUTE,C RUSSIA,42111112,0,10,0,2,0,1,5,0,0,0,0,0,3,6,2,1
13,1470,TRUMPET,C RUSSIA,4231211,0,10,0,7,3,3,5,2,8,9,0,0,6,6,2,1
20,1458,WHISTLE,C RUSSIA,42111112,0,10,0,1,8,1,1,2,16,15,0,0,9,6,2,1
40,1473,DRUM,C RUSSIA,2111,10,0,0,4,2,3,5,1,9,0,0,0,6,17,2,1
23,1468,ACCORDION,C RUSSIA,412132,30,0,0,6,0,1,4,3,16,11,10,0,6,2,4,1
47,1472,FRAME DRUM,C RUSSIA,311311,2,9,0,4,4,1,1,3,10,11,16,0,9,6,5,1
10,1465,LUTE,C RUSSIA,321322,17,7,0,6,3,1,4,3,16,11,10,0,6,12,5,1
10,1467,FIDDLE,C RUSSIA,321322,0,9,0,5,0,2,1,3,11,10,16,0,6,13,5,1
19,1461,BAGPIPE,C RUSSIA,42212,26,0,0,4,2,3,5,3,11,10,16,0,0,6,6,1
10,1471,LUTE,C RUSSIA,321,18,9,0,6,0,3,5,3,16,11,10,0,6,2,7,1
7,1464,ZITHER,C RUSSIA,3112,0,0,0,6,4,3,5,3,0,16,11,0,6,11,7,1
10,1466,LUTE,C RUSSIA,321322,0,7,0,6,0,1,1,3,16,10,11,0,6,12,7,1
31,445,RATTLE,CAMAYURA,11213,0,0,0,1,3,1,1,3,1,11,10,0,0,3,0,1
26,448,PERCUSSION TUBE,CAMAYURA,11123,0,0,0,0,2,2,1,2,1,10,0,0,0,6,0,1
25,444,BULLROARER,CAMAYURA,41222,0,0,0,0,2,4,1,1,1,0,0,0,1,6,1,1
21,447,PANPIPE,CAMAYURA,421112,0,0,0,2,2,2,1,2,15,16,0,0,0,6,2,1
20,446,FLUTE,CAMAYURA,42111,0,10,0,9,1,4,1,2,1,10,0,0,1,0,12,1
47,303,FRAME DRUM,CARIBOUESK,211321,3,0,3,5,3,1,1,1,10,0,0,0,0,6,0,1
47,438,FRAME DRUM,CARIBOUESK,21132,0,0,5,4,2,1,1,2,10,1,0,0,6,6,2,1
10,1391,FIDDLE,CARRIACOU,321322,18,9,0,4,2,1,1,2,10,11,0,0,1,6,3,1
47,1392,FRAME DRUM,CARRIACOU,211311,16,0,0,2,3,1,1,2,10,11,0,0,1,6,4,1
35,1394,CLAPPING,CARRIACOU,1112,56,0,0,1,5,1,1,3,10,1,11,0,1,6,4,1
43,1390,DRUM,CARRIACOU,211222,4,0,5,6,2,1,1,2,10,11,0,0,1,2,5,1
26,1393,CLAVES,CARRIACOU,11121,4,0,0,1,2,1,1,2,10,11,0,0,1,6,5,1
31,1396,RATTLE,CARRIACOU,11213,3,0,0,2,4,1,1,2,1,10,0,2,2,6,6,1
43,1397,DRUM,CARRIACOU,211222,4,0,1,6,2,1,1,2,10,1,0,2,6,15,7,1
43,1395,DRUM,CARRIACOU,211222,4,0,9,6,2,1,1,3,10,1,11,0,6,15,10,1
47,1200,FRAME DRUM,CASTILE,21131,0,8,2,3,5,1,1,3,10,11,12,0,1,6,1,1
26,1202,CASTANET,CASTILE,111141,3,8,0,1,4,1,1,4,10,11,6,9,1,6,1,1
35,1385,CLAPPING,CASTILE,1112,0,0,0,1,4,1,1,1,10,11,0,0,1,6,2,1
18,1203,OBOE,CASTILE,4221112,27,10,0,2,2,2,1,1,10,12,0,9,1,6,2,1
20,1198,FLUTE,CASTILE,42112112,67,11,0,2,2,2,1,3,10,11,16,0,6,6,2,1
10,1214,GUITAR,CASTILE,321322,16,0,0,4,2,1,1,3,10,11,4,0,1,6,4,1
10,1196,MANDOLIN,CASTILE,321321,17,7,0,3,3,1,1,3,10,14,16,0,1,6,4,1
37,1201,DRUM,CASTILE,23112,0,8,9,3,2,1,1,4,12,10,11,8,1,6,4,1
10,1199,FIDDLE,CASTILE,321322,18,9,0,4,2,2,1,2,16,12,0,9,1,6,4,1
26,1206,CLAPPER,CASTILE,1112,4,8,0,2,3,1,1,2,10,16,0,0,1,6,5,1
10,1197,GUITAR,CASTILE,321322,16,7,0,7,3,1,1,3,10,4,16,0,6,11,5,1
38,1205,IDIOPHONE,CASTILE,111,3,8,0,2,3,2,1,2,4,16,0,9,9,15,5,1
47,1204,FRAME DRUM,CASTILE,211212,4,8,3,2,2,1,1,3,10,11,16,0,1,2,6,1
37,1386,DRUM,CASTILE,23113,5,0,9,7,4,1,1,3,12,10,11,8,1,15,7,1
31,277,RATTLE,CAYAPA,11213,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
26,298,MARIMBA,CAYAPA,111212,4,0,0,6,3,2,4,2,10,11,0,0,0,0,0,1
45,302,DRUM,CAYAPA,21125,8,0,0,5,3,1,4,3,10,11,5,0,0,0,0,1
31,299,RATTLE,CAYAPA,1122,0,0,0,0,0,1,1,3,10,11,5,0,2,0,0,1
20,300,FLUTE,CAYAPA,42111,27,10,0,2,3,0,1,2,10,11,0,0,0,6,2,1
21,301,PANPIPE,CAYAPA,421112,0,10,0,2,3,2,1,2,10,11,0,0,0,6,2,1
29,1596,BELLS,CHAGGA,111242,0,1,0,0,3,1,1,1,14,0,0,0,0,0,0,1
13,1002,HORN,CHAGGA,4231211,53,10,0,7,2,2,1,2,8,9,0,0,1,0,0,1
21,1000,PANPIPE,CHAGGA,42111211,53,4,0,0,10,2,1,2,12,11,0,0,0,6,0,1
20,999,FLUTE,CHAGGA,421111,0,10,0,0,10,2,1,2,12,11,0,0,0,6,0,1
13,1001,PIPE,CHAGGA,4211213,53,11,0,0,9,1,4,4,12,11,15,0,0,6,0,1
13,997,HORN,CHAGGA,4231,0,0,0,0,2,2,1,1,1,0,0,8,1,6,0,1
41,1003,DRUM,CHAGGA,2112,53,0,1,7,2,2,1,2,8,9,0,0,1,6,4,1
25,998,HUMMING TOP,CHAGGA,11213,4,0,0,2,9,2,1,2,11,12,0,0,0,15,10,1
7,391,GUSLI,CHEREMIS,314122,0,8,0,0,0,4,0,1,1,0,0,0,0,0,0,1
20,398,WHISTLE,CHEREMIS,42@22,0,0,0,0,0,2,1,1,12,0,0,0,0,0,0,1
23,397,ACCORDION,CHEREMIS,412132,30,0,0,0,3,1,4,2,10,11,0,0,0,0,0,1
43,393,DRUM,CHEREMIS,211212,0,0,4,0,3,1,1,2,5,10,0,0,1,2,0,1
5,399,MUSICAL BOW,CHEREMIS,31112,0,7,0,5,8,3,0,2,0,10,0,0,0,4,0,1
13,395,TRUMPET,CHEREMIS,423111,0,10,0,4,3,4,1,1,1,0,0,0,0,6,0,1
10,400,BALALAIKA,CHEREMIS,32132,0,7,0,0,0,1,1,3,15,16,10,0,0,6,0,1
18,390,SHAWM,CHEREMIS,42212,0,10,0,0,5,3,1,1,4,0,0,0,0,6,2,1
24,394,OCARINA,CHEREMIS,42122142,27,11,0,0,9,2,1,0,1,0,0,1,0,6,2,1
20,396,FLUTE,CHEREMIS,42111,0,0,0,4,3,2,1,2,15,16,0,0,9,6,2,1
19,392,BAGPIPE,CHEREMIS,42222,26,0,0,4,3,2,0,2,10,11,0,0,0,6,4,1
10,401,FIDDLE,CHEREMIS,321,18,9,0,0,3,1,1,3,10,15,16,0,0,0,6,1
32,248,SCRAPER,CHEYENNE,11221,0,0,0,3,2,4,1,1,1,0,0,1,0,0,0,1
31,249,RATTLE,CHEYENNE,11211,3,0,0,1,4,2,1,2,1,10,0,0,0,2,0,1
47,245,FRAME DRUM,CHEYENNE,21131,0,0,5,2,2,1,1,2,10,11,0,0,0,6,0,1
20,252,WHISTLE,CHEYENNE,421,0,10,0,1,2,4,1,2,9,2,0,0,1,2,2,1
20,251,FLUTE,CHEYENNE,42111112,27,10,0,2,2,1,1,2,15,16,0,0,0,6,2,1
20,250,FLUTE,CHEYENNE,42111112,27,10,0,2,2,2,1,1,4,0,0,1,0,6,2,1
52,246,DRUM,CHEYENNE,211,0,0,5,7,2,3,1,0,0,0,0,0,1,1,5,1
40,244,DRUM,CHEYENNE,2111,3,0,5,2,2,2,4,2,1,11,0,0,6,15,7,1
31,247,RATTLE,CHEYENNE,11213,3,0,0,1,2,4,1,4,2,9,10,0,9,6,12,1
35,838,CLAPPING,CHOPI,1112,0,0,0,0,6,2,1,4,11,6,16,9,1,0,0,1
20,834,WHISTLE,CHOPI,42111,0,10,0,1,2,2,1,4,10,0,0,0,1,4,2,1
5,826,MUSICAL BOW,CHOPI,3111,21,8,0,0,3,1,1,1,0,0,0,0,0,6,2,1
5,827,MUSICAL BOW,CHOPI,3111,20,9,0,0,2,2,1,2,4,11,0,0,0,6,2,1
24,833,OCARINA,CHOPI,42113,27,11,0,1,2,2,1,4,15,0,0,0,1,6,2,1
21,832,PIPES,CHOPI,421112,0,10,0,2,9,2,1,3,12,10,11,0,3,6,3,1
46,830,DRUM,CHOPI,2112611,0,0,6,7,2,1,1,4,10,11,0,0,1,15,5,1
28,841,XYLOPHONE,CHOPI,111212,4,0,0,7,2,2,1,0,14,10,16,0,1,16,6,1
26,1587,IDIOPHONE,CHOPI,111,4,0,0,2,0,1,1,1,7,0,0,0,4,15,7,1
46,829,DRUM,CHOPI,2112611,0,0,4,5,2,1,1,3,10,0,0,0,1,15,8,1
31,828,RATTLE,CHOPI,11213,3,0,0,1,10,2,1,4,10,0,0,0,2,14,9,1
46,836,DRUM,CHOPI,2112611,0,0,4,4,2,1,1,2,10,0,0,0,3,15,9,1
28,840,XYLOPHONE,CHOPI,111212,4,0,6,6,2,1,1,3,14,10,16,0,1,16,9,1
36,831,STOMPING,CHOPI,500,0,0,0,0,9,2,1,4,12,10,0,0,1,0,10,1
28,1593,XYLOPHONE,CHOPI,111212,4,0,0,0,2,2,1,3,14,10,16,0,6,16,10,1
28,1594,XYLOPHONE,CHOPI,111212,4,0,0,0,2,2,1,3,14,10,16,0,6,16,10,1
28,839,XYLOPHONE,CHOPI,111212,4,0,0,5,2,2,1,3,14,10,16,0,6,16,10,1
31,837,RATTLE,CHOPI,11213,4,0,0,1,3,1,1,3,12,10,11,0,1,6,12,1
26,835,CASTANET,CHOPI,111141,4,0,0,1,10,1,1,3,10,0,0,0,9,6,12,1
47,1111,FRAME DRUM,CHUKCHEE,211321,0,0,3,3,2,1,1,3,2,1,16,0,1,6,2,1
10,1112,FIDDLE,CHUKCHEE,321322,18,9,0,3,2,2,5,1,16,0,0,0,9,6,3,1
30,1110,SLIT DRUM,CHUKCHEE,111231,0,0,0,2,3,2,1,2,3,16,0,0,6,15,7,1
42,305,DRUM,CREE,211211,9,0,3,1,2,0,0,1,10,0,0,0,0,0,0,1
25,309,BULLROARER,CREE,41222,0,0,0,0,8,2,1,1,0,0,0,0,1,6,1,1
20,310,WHISTLE,CREE,42111,0,0,0,1,1,4,1,2,1,10,0,0,2,4,2,1
20,308,FLUTE,CREE,421111,27,10,0,2,3,2,1,0,0,0,0,0,9,6,2,1
42,304,DRUM,CREE,211212,23,0,9,6,3,1,4,2,10,11,0,0,0,1,5,1
52,307,DRUM,CREE,211,0,0,9,8,2,4,1,1,1,0,0,0,0,15,10,1
47,306,FRAME DRUM,CREE,211311,4,0,5,3,2,1,2,1,1,0,0,0,1,15,10,1
31,311,RATTLE,CREE,112111,23,0,0,1,4,1,1,2,1,10,0,0,9,2,12,1
31,312,RATTLE,CREE,112112,3,0,0,1,3,2,1,2,1,10,0,0,1,3,12,1
31,313,RATTLE,CREE,11213,3,0,0,1,3,4,1,3,2,1,10,0,9,3,12,1
13,1273,CONCH,CUNA,423111,0,10,0,2,2,2,1,1,8,0,0,0,1,6,2,1
20,1274,WHISTLE,CUNA,4211111,27,10,0,1,2,1,1,1,16,0,0,0,1,6,2,1
17,1272,CLARINET,CUNA,422211,33,10,0,2,2,2,1,1,16,0,0,0,1,6,2,1
21,1276,PANPIPE,CUNA,421112,0,6,0,6,3,1,1,2,1,10,0,0,1,6,2,1
20,1275,FLUTE,CUNA,4211111,27,10,0,2,2,1,1,4,1,10,5,0,1,6,2,1
20,1270,FLUTE,CUNA,421121,27,11,0,2,2,2,1,3,16,1,10,0,1,6,2,1
31,1269,RATTLE,CUNA,11213,3,0,0,2,2,1,1,4,1,10,16,0,1,6,5,1
31,1268,RATTLE,CUNA,11213,3,0,0,2,3,2,1,2,10,16,0,0,1,6,6,1
53,1271,DRUM,CUNA,11123,0,0,0,6,2,4,1,0,0,0,0,0,3,1,9,1
35,1322,CLAPPING,DINKA,1112,0,0,0,1,4,1,1,2,10,11,0,9,1,6,3,1
45,1323,DRUM,DINKA,211252,10,0,4,8,2,1,1,2,10,11,0,9,1,1,7,1
26,1321,IDIOPHONE,DINKA,11114,4,0,0,3,6,1,1,1,7,0,0,9,4,15,7,1
14,759,TRUMPET,DOGON,4231211,0,0,0,2,2,2,1,1,6,0,0,0,0,0,0,1
52,771,DRUM,DOGON,211,0,0,0,0,2,2,1,2,6,8,0,0,0,0,0,1
52,761,DRUM,DOGON,211,0,0,0,2,3,2,1,2,3,10,0,0,0,0,0,1
26,760,DRUM,DOGON,1112,0,0,0,2,3,2,1,4,10,12,1,0,0,0,0,1
14,758,TRUMPET,DOGON,4231211,0,0,0,2,1,2,1,3,6,1,8,0,0,0,0,1
28,763,LITHOPHONE,DOGON,111222,0,0,0,0,9,2,1,3,1,3,10,0,0,0,0,1
52,769,DRUM,DOGON,211211,0,0,0,0,2,2,1,1,6,0,0,3,0,0,0,1
52,772,DRUM,DOGON,211211,0,0,0,0,2,2,1,1,6,0,0,5,0,0,0,1
31,764,RATTLE,DOGON,11213,0,0,0,0,7,2,1,1,6,0,0,6,0,0,0,1
12,756,HARP-LUTE,DOGON,323,16,7,0,4,2,2,1,3,2,6,1,7,0,6,0,1
25,749,BULLROARER,DOGON,41222,0,0,0,8,1,2,1,2,6,8,0,3,1,6,1,1
20,757,FLUTE,DOGON,421121,0,11,0,0,2,2,1,2,12,1,0,2,1,6,2,1
26,767,CASTANET,DOGON,111141,3,0,0,1,3,2,1,1,6,0,0,4,1,6,4,1
46,768,DRUM,DOGON,2112621,4,0,3,3,1,2,1,1,6,0,0,6,1,6,4,1
40,762,DRUM,DOGON,21111,8,0,1,6,3,3,1,1,6,0,0,5,1,2,5,1
29,766,BELL,DOGON,111242121,3,0,0,2,3,2,1,2,6,8,0,5,1,6,5,1
26,765,CALABASH,DOGON,11124,0,0,0,4,7,2,1,2,6,5,0,6,1,10,7,1
42,770,DRUM,DOGON,211211,0,0,4,7,2,2,1,4,6,10,12,6,1,16,9,1
6,327,IDIOCHORD,DUSUN,31211,0,0,0,0,6,1,2,2,15,16,0,0,0,0,0,1
27,330,GONG,DUSUN,1112411,0,0,0,2,4,4,1,4,2,1,6,0,0,0,0,1
42,326,DRUM,DUSUN,211211,0,0,0,7,3,1,1,3,9,10,11,0,0,15,0,1
22,334,MOUTH ORGAN,DUSUN,4223,27,10,0,3,3,2,2,2,15,16,0,0,1,6,1,1
33,339,JEWS HARP,DUSUN,1212,0,0,0,1,0,1,1,1,15,0,0,0,9,4,2,1
13,340,TRUMPET,DUSUN,42311,41,0,0,0,1,4,1,1,9,0,0,0,1,6,2,1
20,323,FLUTE,DUSUN,421111,27,10,0,3,3,2,1,2,15,16,0,0,5,6,2,1
20,324,FLUTE,DUSUN,42112,27,11,0,2,3,2,1,2,15,16,0,0,9,6,2,1
27,329,GONG,DUSUN,1112411,41,0,0,0,4,1,1,4,2,1,6,0,1,1,4,1
27,328,GONG,DUSUN,111241,0,0,0,2,3,4,1,4,2,1,6,0,1,1,4,1
31,337,RATTLE,DUSUN,11211,0,0,0,0,6,4,1,2,1,12,0,0,1,6,4,1
10,325,LUTE,DUSUN,32132,16,7,0,6,2,2,1,2,15,16,0,0,1,6,4,1
29,332,BELL,DUSUN,111242,0,0,0,1,6,3,1,1,1,0,0,0,2,2,9,1
28,336,XYLOPHONE,DUSUN,111212,0,0,0,0,0,2,1,0,0,0,0,0,0,15,9,1
27,331,GONG SET,DUSUN,1112412,0,0,0,0,5,2,1,3,10,11,16,0,5,15,9,1
30,335,SLIT DRUM,DUSUN,111231,0,0,0,0,0,0,0,1,6,0,0,0,0,15,10,1
26,338,SPLIT STICK,DUSUN,1123,0,0,0,0,5,4,1,1,2,0,0,0,3,6,12,1
29,333,BELL,DUSUN,111242,0,0,0,0,3,2,1,1,5,0,0,0,0,17,12,1
10,1057,VIOL,EGYPT,321322,0,7,0,0,2,1,1,3,5,11,14,0,0,0,0,1
19,1058,BAGPIPE,EGYPT,4221112,26,0,0,3,2,1,1,3,5,11,14,0,0,0,0,1
40,1056,DRUM,EGYPT,21111,13,0,7,2,1,2,1,3,5,11,14,0,0,0,0,1
10,1055,VIOL,EGYPT,321322,0,7,0,0,2,2,1,3,5,11,14,0,0,0,0,1
10,1054,VIOL,EGYPT,321322,19,9,0,0,2,1,1,2,15,11,0,6,0,0,0,1
26,1051,CYMBAL,EGYPT,111142,4,0,1,0,3,1,1,1,11,3,0,0,0,6,0,1
19,1052,BAGPIPE,EGYPT,4221212,26,0,0,4,3,1,1,1,11,3,0,0,0,6,0,1
20,1059,FLUTE,EGYPT,42112112,27,11,0,4,2,1,5,3,5,11,14,0,0,6,0,1
47,1053,FRAME DRUM,EGYPT,211311,2,0,2,2,5,1,1,1,11,3,0,0,1,6,4,1
26,1060,CASTANET,EGYPT,111141,3,0,1,1,5,2,1,3,5,11,14,0,1,6,12,1
47,1050,FRAME DRUM,EGYPT,211311,0,0,2,2,5,1,1,1,10,6,0,0,2,6,12,1
43,585,DRUM,EGYPTANCIENT,21122,61,0,1,6,4,0,7,0,0,0,0,0,0,0,0,1
13,582,TRUMPET,EGYPTANCIENT,4231112,0,10,0,4,2,2,7,2,9,1,0,9,1,0,2,1
26,592,PERCUSSION STICK,EGYPTANCIENT,11121,61,0,0,2,4,1,8,3,12,7,1,4,9,6,2,1
47,586,FRAME DRUM,EGYPTANCIENT,2113,0,0,1,7,4,0,7,0,0,0,0,9,0,1,3,1
10,580,LUTE,EGYPTANCIENT,321311,17,7,0,6,6,2,7,2,10,16,0,0,1,6,4,1
18,583,OBOE,EGYPTANCIENT,4211,27,0,0,2,0,2,7,2,10,16,0,0,9,6,4,1
11,581,LYRE,EGYPTANCIENT,32122,17,7,0,6,5,1,7,2,10,16,0,0,1,8,4,1
31,593,RATTLE,EGYPTANCIENT,112111,61,0,0,1,4,1,7,1,1,0,0,4,9,3,12,1
47,584,FRAME DRUM,EGYPTANCIENT,2113,0,0,2,2,6,2,7,0,0,0,0,4,0,6,12,1
26,579,CASTANET,EGYPTANCIENT,111141,0,0,0,1,5,2,6,1,10,0,0,0,2,6,12,1
17,590,CLARINET,EGYPTANCIENT,42222,61,10,0,2,4,2,8,2,10,14,0,0,6,6,12,1
20,591,FLUTE,EGYPTANCIENT,42111112,61,10,0,6,3,1,8,3,14,16,10,0,6,6,12,1
12,587,HARP,EGYPTANCIENT,32212,61,0,0,0,5,2,7,1,16,0,0,0,1,14,12,1
12,589,HARP,EGYPTANCIENT,32211,16,7,0,7,4,1,8,2,14,16,0,0,6,15,12,1
12,588,HARP,EGYPTANCIENT,32211,16,0,0,8,4,1,7,3,14,16,10,0,6,15,12,1
30,798,DRUM,EKONDA,111231,0,0,0,3,2,1,1,1,10,0,0,9,0,0,0,1
31,794,RATTLE,EKONDA,112,0,0,0,0,6,2,1,3,11,15,10,0,0,6,0,1
16,797,REED,EKONDA,41214,0,0,0,1,2,2,1,2,15,11,0,0,1,6,2,1
32,793,SCRAPER,EKONDA,11221,3,0,0,7,2,2,1,4,10,11,15,9,1,6,5,1
11,795,PLURIARC,EKONDA,3211,17,7,0,0,2,2,1,4,15,11,10,9,6,15,9,1
13,796,JUG,EKONDA,42111121,0,0,0,0,2,2,1,4,1,15,11,9,5,15,10,1
20,548,FLUTE,FIJI,421111,32,0,0,2,3,3,1,2,14,16,0,0,0,0,0,1
30,549,SLIT DRUM,FIJI,111231,4,0,4,6,1,2,1,1,8,0,0,0,0,2,0,1
13,281,TRUMPET,FIJI,42311,0,11,0,1,2,2,1,1,8,0,0,0,9,6,2,1
30,550,SLIT DRUM,FIJI,111231,4,0,4,3,2,1,1,1,10,0,0,0,6,13,7,1
25,551,STAMP TUBE,FIJI,111232,0,0,0,0,0,2,1,1,10,0,0,0,0,6,9,1
42,238,DRUM,FLATHEAD,2112111,9,0,5,5,2,2,4,2,10,9,0,0,4,0,0,1
47,237,FRAME DRUM,FLATHEAD,211311,0,0,5,0,0,1,1,2,10,11,0,0,0,6,0,1
20,239,FLUTE,FLATHEAD,42111122,27,10,0,2,3,1,1,3,15,16,4,0,0,6,2,1
52,235,DRUM,FLATHEAD,211,0,0,2,9,0,2,1,2,11,9,0,0,1,6,5,1
26,240,PERCUSSION STICK,FLATHEAD,11121,4,0,0,0,0,2,2,1,1,0,0,0,5,6,8,1
29,236,BELLS,FLATHEAD,111242,0,0,0,1,0,2,1,2,10,11,0,0,2,14,9,1
23,1784,ORGAN,FR URB BAR,4212222,30,6,0,9,3,2,5,1,1,0,0,0,6,1,1,1
23,1780,ORGAN,FR URB BAR,4212222,30,6,0,9,3,1,5,2,16,1,0,0,6,1,1,1
20,1786,FLUTE,FR URB BAR,42112112,27,10,0,2,2,2,5,1,1,0,0,0,6,6,2,1
14,1789,CORNET,FR URB BAR,4231212,28,10,0,3,2,2,5,1,1,0,0,0,6,6,2,1
15,1779,TRUMPET,FR URB BAR,423233,28,10,0,3,2,2,5,1,1,0,0,0,9,6,2,1
13,1778,TRUMPET,FR URB BAR,423233,28,10,0,3,2,1,4,1,14,0,0,0,9,6,2,1
18,1776,BASSOON,FR URB BAR,422122,28,10,0,5,2,2,5,1,1,0,0,0,6,6,4,1
10,1785,VIOLIN,FR URB BAR,321322,18,9,0,3,2,2,4,2,10,16,0,0,7,8,4,1
10,1777,GUITAR,FR URB BAR,321322,17,7,0,6,3,1,4,1,16,0,0,0,1,11,4,1
10,1782,LUTE,FR URB BAR,321321,16,7,0,6,3,1,5,2,10,16,0,0,6,11,4,1
9,1781,CLAVICHORD,FR URB BAR,314122,15,8,0,8,4,1,4,3,16,10,11,0,6,15,4,1
42,1788,DRUM,FR URB BAR,21121,0,0,4,0,2,1,4,1,14,0,0,0,1,2,5,1
10,1783,VIOLS,FR URB BAR,321322,18,9,0,3,3,1,4,1,16,0,0,0,6,11,5,1
10,1775,THEORBO,FR URB BAR,321321,0,7,0,8,2,1,4,1,16,0,0,0,1,15,12,1
10,1787,CELLO,FR URB BAR,321322,19,9,0,7,3,1,4,2,16,10,0,0,6,15,12,1
29,1235,BELL,GALICIA,1112422,3,0,0,2,0,1,1,1,7,0,0,0,0,0,0,1
21,1236,PANPIPE,GALICIA,42111211,0,4,0,1,2,3,1,1,8,7,0,0,1,6,2,1
35,1237,CLAPPING,GALICIA,1112,0,0,1,1,5,1,1,2,10,11,0,0,1,6,4,1
19,1232,BAGPIPE,GALICIA,422112,26,0,0,6,2,1,1,3,10,11,16,0,1,6,4,1
47,1234,FRAME DRUM,GALICIA,211311,2,0,2,4,5,1,1,3,10,11,16,0,1,6,4,1
32,1231,SCRAPER,GALICIA,1122,4,0,0,1,3,2,1,3,16,11,10,0,1,6,5,1
42,1233,DRUM,GALICIA,211212,4,0,3,3,2,1,1,2,10,11,16,0,1,2,6,1
40,1215,DRUM,GALICIA,21111,0,0,4,4,2,2,1,3,10,11,16,0,0,2,8,1
20,1352,PANPIPE,GEORGIA,42111211,0,4,0,0,2,3,2,3,15,8,7,0,9,4,2,1
18,1348,OBOE,GEORGIA,422122,27,10,0,3,2,3,1,4,10,16,11,0,0,6,2,1
13,1346,TRUMPET,GEORGIA,42312111,0,10,0,8,2,2,1,1,8,0,0,0,1,6,2,1
47,1360,FRAME DRUM,GEORGIA,311311,2,0,0,4,5,3,1,2,10,16,0,0,1,6,2,1
20,1350,FLUTE,GEORGIA,42111112,33,10,0,2,2,2,1,2,7,16,0,0,9,6,2,1
20,1351,FLUTE,GEORGIA,42111112,27,10,0,2,2,2,1,2,7,16,0,0,9,6,2,1
18,1349,OBOE,GEORGIA,422122,27,10,0,2,2,2,1,4,16,10,11,0,9,6,2,1
20,1363,WHISTLE,GEORGIA,42113,0,10,0,1,8,2,1,1,15,0,0,1,9,6,2,1
10,1356,LUTE,GEORGIA,321322,0,7,0,6,4,2,1,1,16,0,0,0,9,2,4,1
42,1358,DRUM,GEORGIA,211212,4,0,4,5,3,2,1,4,10,11,5,0,9,2,4,1
23,1362,CONCERTINA,GEORGIA,4212223,26,0,0,2,4,2,1,2,16,10,0,0,7,6,4,1
19,1347,BAGPIPE,GEORGIA,42231,27,0,0,5,1,3,1,4,13,12,5,0,6,6,5,1
10,1344,LUTE,GEORGIA,321322,0,7,0,7,4,1,1,4,10,16,11,0,7,6,5,1
12,1357,HARP,GEORGIA,32212,0,0,0,4,5,2,1,4,16,2,11,0,7,11,5,1
40,1359,DRUM,GEORGIA,21112,0,4,1,4,2,2,1,0,0,0,0,0,6,15,5,1
10,1345,LUTE,GEORGIA,321322,0,7,0,5,4,1,1,4,10,16,11,0,7,6,6,1
26,1361,CIMBALOM,GEORGIA,111142,0,0,0,6,4,3,1,1,16,0,0,0,7,11,7,1
10,1354,LUTE,GEORGIA,32131,19,9,0,7,4,3,1,1,16,0,0,0,7,15,7,1
10,1353,LUTE,GEORGIA,32131,0,9,0,7,4,2,1,2,16,10,0,0,7,15,7,1
10,1355,LUTE,GEORGIA,32131,19,9,0,7,4,2,1,3,15,11,10,0,7,15,7,1
29,1750,BELLS,GER URB BAR,111242121,1,6,0,9,2,2,5,1,1,16,0,0,6,1,1,1
23,1755,ORGAN,GER URB BAR,4212222,30,6,0,9,2,1,4,2,1,16,0,0,6,1,1,1
20,1752,RECORDER,GER URB BAR,421221120,27,10,0,3,3,1,5,2,16,1,0,0,6,6,2,1
20,1791,CROSS FLUTE,GER URB BAR,42112112,27,11,0,2,2,2,4,2,16,10,0,0,6,6,2,1
14,1748,CORNET,GER URB BAR,4231212,28,10,0,3,2,2,4,2,16,10,0,0,6,6,2,1
18,1749,OBOE,GER URB BAR,4221112,6,10,0,5,2,2,5,1,16,0,0,0,7,6,2,1
15,1747,TROMBONE,GER URB BAR,42322,0,10,0,5,2,2,5,1,16,0,0,0,9,6,2,1
15,1744,TRUMPET,GER URB BAR,423233,28,10,0,3,2,2,5,2,16,14,0,0,9,6,2,1
15,1757,TROMBONE,GER URB BAR,42322,0,10,0,5,2,2,4,1,1,16,0,0,9,6,2,1
17,1790,CLARINET,GER URB BAR,4222112,27,10,0,3,2,2,4,2,16,10,0,0,6,6,3,1
18,1756,BASSOON,GER URB BAR,422122,28,10,0,5,2,2,4,2,16,10,0,0,6,6,4,1
10,1754,VIOLIN,GER URB BAR,321322,18,9,0,3,2,2,4,1,1,0,0,0,7,8,4,1
10,1753,LUTE,GER URB BAR,321321,16,7,0,6,4,2,5,2,16,10,0,0,6,11,4,1
9,1743,CLAVICHORD,GER URB BAR,314122,15,8,0,8,4,1,4,2,16,10,0,0,6,15,4,1
9,1751,HARPISCHORD,GER URB BAR,314122,15,8,0,8,4,1,4,2,16,10,0,0,6,15,4,1
42,1745,DRUM,GER URB BAR,21121,0,0,4,0,2,2,5,2,16,14,0,0,1,2,5,1
10,1758,VIOLS,GER URB BAR,321322,18,9,0,3,4,1,4,2,16,10,0,0,6,11,5,1
20,1746,ORGAN,GER URB BAR,4212222,30,6,0,9,2,2,5,1,16,0,0,0,6,15,5,1
31,143,RATTLE,GILYAK,11213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
